Dataset,ID,Volume (m3),H (m),L (m),H/L,F-Angle
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Koven,"209,543",400,499,0.8,39
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Stadena,"26,133",331,363,0.91,42
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Grønsdal,"32,338",265,362,0.73,36
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Erreskar2,"16,041",92,107,0.86,41
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Stølsnuten1,"186,879",541,519,1.04,46
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Stølsnuten2,"60,790",453,557,0.81,39
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Natten,"38,467",232,200,1.16,49
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Ovnen,"77,458",546,545,1,45
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Hellefjell,"15,229",133,178,0.75,37
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Guddalsdalen1,"11,244",116,137,0.85,40
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Guddalsdalen2,"12,928",171,195,0.88,41
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Guddalsdalen3,"12,701",136,153,0.89,42
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Skinabergsnuten4,"54,950",268,311,0.86,41
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Øvrehusknotten,"118,134",372,404,0.92,43
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Mauranger1,"47,897",259,268,0.97,44
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Kvinnheradskyrkja,"2,116,400",739,1165,0.63,32
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Austdølo1,"103,249",276,220,1.25,51
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Austdølo2,"13,774",255,201,1.27,52
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Hallestigen,"75,579",496,459,1.08,47
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Oksen1,"12,698",176,244,0.72,36
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Vikastølen,"17,384",231,302,0.76,37
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Glomsdalsskardet,"19,531",218,184,1.18,50
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Skinabergsnuten3,"60,679",501,701,0.71,35
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Markaskorane,"185,467",433,444,0.98,44
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Rindafjellet1,"125,100",356,438,0.81,39
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Rindafjellet2,"188,857",377,477,0.79,38
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Skeidsfjellet1,"34,062",302,341,0.89,42
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Skeidsfjellet2,"20,857",262,225,1.16,49
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Midnuten1,"32,084",244,357,0.68,34
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Freim,"70,362",504,638,0.79,38
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Kyrkjeberg,"501,919",520,433,1.2,50
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Kinsarvik,"8,591,140",1153,3006,0.38,21
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Trollagjel,"520,506",635,695,0.91,42
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Norddøla3,"310,366",577,798,0.72,36
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Fjellskor,"13,134",347,254,1.37,54
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Møyfallsnuten2,"59,465",266,418,0.64,33
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Møyfallsnuten3,"45,691",681,853,0.8,39
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Lyngberg,"496,363",869,1135,0.77,38
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Storur,"391,445",599,686,0.87,41
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Nipane,"105,284",856,1025,0.84,40
"Kolstad, 2021. The controlling factors for runout lengths for ""steinskred"" in Hordaland, developing a new alpha-beta method. M.Sc. Thesis. NTNU",Kvannbergbakken,"57,264",241,306,0.79,38
"Sakals et al., 2012. The Todagin Creek landslide of October 3, 2006, Northwest British Columbia, Canada. Landslides 9 (1)",Todagin,"4,000,000",771,1885,0.409,22
"Brideau et al., 2012. Three-dimensional distinct element modelling and dynamic runout analysis of a landslide in gneissic rock, British Columbia. Bulletin of Engineering Geology and the Environment. 71(2):467-486",McAuley Creek,"7,400,000",,,0.285,16
"Boultbee et al., 2006. The Zymoetz River rock avalanche, June 2002, British Columbia, Canada. Engineering Geology 83(1-3):76-93",Zymoetz River,"1,000,000",1245,3500,0.356,20
"Geertsema et al., 2006. A large rockslide-debris avalanche in cohesive soil at Pink Mountain, northeastern British Columbia, Canada. Engineering Geology 83(1-3):64-75",Pink Mountain,"1,040,000",450,1850,0.243,14
"Lu et al., 2003. The Mosque Mountain Rockslide, Sustut Watershed, Fort St. James, Northern British Columbia, Canada. 3rd Canadian Conference on Geotechnique and Natural Hazards, Edmonton, AB",Mosque,"5,000,000",400,1200,0.333,18
"Guthrie et al., 2012. The 6 August Mount Meager rock slide-debris flow, Coast Mountains, British Columbia: characteristics, dynamics, and miplications for hazard and risk assessment. Natural Hazards Earth System Science 12:1277-1294",Mount Meager,"48,500,000",,,0.172,10
"Begueria et al., 2009. Comparison of three landslide runout models on the Turnoff Creek rock avalanche, British Columbia. Landslides Processes Conference:A tribute to Theo van Asch. Strasbourg.",Turnoff Creek,"4,000,000",,,0.28,16
"Geertsema et al., 2006. An overview of recent large catastrophic landslides in northern British Columbia, Canada. Engineering Geology 83(1-3):120-143",Chisca,"1,000,000",,,0.24,13
"Geertsema et al., 2006. An overview of recent large catastrophic landslides in northern British Columbia, Canada. Engineering Geology 83(1-3):120-143",Harold Price,"1,600,000",,,0.18,10
"Blais-Stevens, A., et al., 2015. Complex Landslide Triggered in an Eocen Volcanic-Volcanoclastic Succession along Sutherland River, British Columbia, Canada. Environmental and Engineering Geoscience 21(1):35-45",Sutherland,"3,000,000",270,1450,0.186,11
"Moore and Matthews, 1978. Rubble Creek Landslide, southwestern British Columbia. Canadian Journal of Earth Sciences 15 (7)",Rubble Creek Landslide,"25,000,000",1160,4600,0.252,14
"Levson et al., 2003. Quaternary Geology of the Atlin area; Edwards and Bye, 2003. Preliminary resutls of field mapping, GIS spatial analysis, and major-element geochemistry, Ruby Mountain volcano;",Ruby Volcano,"60,000,000",800,3600,0.222,13
"Nichol et al., 2002. Large-scale brittle and ductile toppling of rock slopes. Canadian Geotechnical Journal 39(4):773-778",Mystery Creek,"40,000,000",1150,4000,0.288,16
"Brideau et al., 2010. Preliminary description and slope stability analyses of the 2008 Little Salmon Lake and 2007 Mt. Steele landslides, Yukon. In: Yukon Exploration and Geology. Yukon Geological Survey. ",Little Salmon Lake,"2,000,000",515,2050,0.251,14
"Brideau et al., 2019. Evolution of the 2014 Vulcan Creek landslide-dammed lake, Yukon, Canada, using field and remote survey techniques. Landslides 16:1823-1840",Vulcan Creek Landslide,"500,000",,,0.315,17
"Huscroft et al., 2004. A regional characterization of landslides in the Alaska Highway corridor, Yukon. Yukon Geological Survey, Open File 2004-18",Aishihik River Landslide,"22,000,000",530,2100,0.252,14
"Evans et al., 1987. A rock avalanche triggered by the October 1985 North Nahanni earthquake, District of Mackenzie, NWT. Canadian Journal of Earth Sciences 24(1)",Nahanni Bute,"6,000,000",,,0.259,15
"Couture, R. 1998. Contributions aux aspects mécaniques et physiques des écroulements rocheux. PhD thesis, Laval University, 573 p",Queen Elizabeth,"45,000,000",910,2645,0.344,19
"Couture, R. 1998. Contributions aux aspects mécaniques et physiques des écroulements rocheux. PhD thesis, Laval University, 573 p",Slide Mountain,"10,000,000",410,1650,0.248,14
"Cruden and Eaton, 1987. Reconnaissance of rockslide hazards in Kananaskis Country, Alberta. Canadian Geotechnical Journal 24(3):414-429",Mount Sparrowhawk,"30,000,000",840,2300,0.365,20
"Cruden, 1976. Major rockslide in the Rockies. Canadian Geotechnical Journal 13(1):8-20",Rocky Mountain Slides - Beaver Flats North,"4,130,000",,,0.319,18
"Cruden, 1976. Major rockslide in the Rockies. Canadian Geotechnical Journal 13(1):8-20",Rocky Mountain Slides - Beaver Flats South,"4,820,000",,,0.246,14
"Cruden, 1976. Major rockslide in the Rockies. Canadian Geotechnical Journal 13(1):8-20",Rocky Mountain Slides - Jonas Creek North,"5,400,000",,,0.272,15
"Cruden, 1976. Major rockslide in the Rockies. Canadian Geotechnical Journal 13(1):8-20",Rocky Mountain Slides - Jonas Creek South,"10,200,000",,,0.37,20
"Cruden, 1976. Major rockslide in the Rockies. Canadian Geotechnical Journal 13(1):8-20",Rocky Mountain Slides - Maligne Lake,"498,000,000",,,0.167,9
"Cruden, 1976. Major rockslide in the Rockies. Canadian Geotechnical Journal 13(1):8-20",Rocky Mountain Slides - Medicine Lake ,"86,000,000",,,0.262,15
"Cruden, 1976. Major rockslide in the Rockies. Canadian Geotechnical Journal 13(1):8-20",Rocky Mountain Slides - Mount Kitchener,"39,100,000",,,0.205,12
"Cruden, 1976. Major rockslide in the Rockies. Canadian Geotechnical Journal 13(1):8-20",Frank Slide,"36,500,000",830,3000,0.277,15
"Cruden, 1982. Brazeau Lake slide Jasper National Park, Alberta. Canadian Journal of Earth Sciences 19(5):975-981",Brazeau Lake Slide,"4,500,000",,,0.325,18
"Hungr and Evans, 2004. Entrainment of debris in rock avalanches: An analysis of a long run-out mechanism. GSA Bulletin 116 (9/10): 1240 -1252 ",Eagle Pass (Clanwilliam),"120,000",,,0.601,31
"Hungr and Evans, 2004. Entrainment of debris in rock avalanches: An analysis of a long run-out mechanism. GSA Bulletin 116 (9/10): 1240 -1252 ",Nomash River,"735,000",,,0.246,14
"Eisbacher, G.H., 1977. Rockslides in the Mackenzie Mountains, District of Mackenzie. Geological Survey of Canada, Paper 77-1A; Eisbacher, G.H., 1978. Observations on the streaming mechanism of large rock slides, Northern Cordillera. Geological Survey of Canada, Paper 78-1A; Eisbacher, G.H., 1979. Cliff collapse and rock avalanches (sturzstroms) in the Mackenzie Mountains, northwestern Canada. Canadian Geotechnical Journal 16: 309-334.",Mackenzie Mountains - Avalanche Lake North,"30,000,000",,,0.18,10
"Eisbacher, G.H., 1977. Rockslides in the Mackenzie Mountains, District of Mackenzie. Geological Survey of Canada, Paper 77-1A; Eisbacher, G.H., 1978. Observations on the streaming mechanism of large rock slides, Northern Cordillera. Geological Survey of Canada, Paper 78-1A; Eisbacher, G.H., 1979. Cliff collapse and rock avalanches (sturzstroms) in the Mackenzie Mountains, northwestern Canada. Canadian Geotechnical Journal 16: 309-334.",Mackenzie Mountains - Avalanche Lake South lobe,"40,000,000",,,0.18,10
"Eisbacher, G.H., 1977. Rockslides in the Mackenzie Mountains, District of Mackenzie. Geological Survey of Canada, Paper 77-1A; Eisbacher, G.H., 1978. Observations on the streaming mechanism of large rock slides, Northern Cordillera. Geological Survey of Canada, Paper 78-1A; Eisbacher, G.H., 1979. Cliff collapse and rock avalanches (sturzstroms) in the Mackenzie Mountains, northwestern Canada. Canadian Geotechnical Journal 16: 309-334.",Mackenzie Mountains - Damocles Slide,"20,000,000",300,3250,0.092,5
"Eisbacher, G.H., 1977. Rockslides in the Mackenzie Mountains, District of Mackenzie. Geological Survey of Canada, Paper 77-1A; Eisbacher, G.H., 1978. Observations on the streaming mechanism of large rock slides, Northern Cordillera. Geological Survey of Canada, Paper 78-1A; Eisbacher, G.H., 1979. Cliff collapse and rock avalanches (sturzstroms) in the Mackenzie Mountains, northwestern Canada. Canadian Geotechnical Journal 16: 309-334.",Mackenzie Mountains - Rockslide Pass,"450,000,000",,,0.137,8
"Eisbacher, G.H., 1977. Rockslides in the Mackenzie Mountains, District of Mackenzie. Geological Survey of Canada, Paper 77-1A; Eisbacher, G.H., 1978. Observations on the streaming mechanism of large rock slides, Northern Cordillera. Geological Survey of Canada, Paper 78-1A; Eisbacher, G.H., 1979. Cliff collapse and rock avalanches (sturzstroms) in the Mackenzie Mountains, northwestern Canada. Canadian Geotechnical Journal 16: 309-334.",Mackenzie Mountains - Triple Slide,"45,000,000",,,0.17,10
"Eisbacher, G.H., 1977. Rockslides in the Mackenzie Mountains, District of Mackenzie. Geological Survey of Canada, Paper 77-1A; Eisbacher, G.H., 1978. Observations on the streaming mechanism of large rock slides, Northern Cordillera. Geological Survey of Canada, Paper 78-1A; Eisbacher, G.H., 1979. Cliff collapse and rock avalanches (sturzstroms) in the Mackenzie Mountains, northwestern Canada. Canadian Geotechnical Journal 16: 309-334.",Mackenzie Mountains - Twin Slides - West arm,"5,000,000",,,0.17,10
"Eisbacher, G.H., 1977. Rockslides in the Mackenzie Mountains, District of Mackenzie. Geological Survey of Canada, Paper 77-1A; Eisbacher, G.H., 1978. Observations on the streaming mechanism of large rock slides, Northern Cordillera. Geological Survey of Canada, Paper 78-1A; Eisbacher, G.H., 1979. Cliff collapse and rock avalanches (sturzstroms) in the Mackenzie Mountains, northwestern Canada. Canadian Geotechnical Journal 16: 309-334.",Mackenzie Mountains - Twin Slides - East arm,"5,000,000",,,0.19,11
"Jackson and Isobe, 1990. Rock avalanches in the Pelly Mountains, Yukon Territory, Geological Survey of Canada Paper 901E: 263 - 269",Pelly Mountain Rock Avalanches - 1,"3,100,000",,,0.194,11
"Jackson and Isobe, 1990. Rock avalanches in the Pelly Mountains, Yukon Territory, Geological Survey of Canada Paper 901E: 263 - 269",Pelly Mountain Rock Avalanches - 2,"2,100,000",,,0.287,16
"Jackson and Isobe, 1990. Rock avalanches in the Pelly Mountains, Yukon Territory, Geological Survey of Canada Paper 901E: 263 - 269",Pelly Mountain Rock Avalanches - 3,"2,500,000",,,0.176,10
"Jackson and Isobe, 1990. Rock avalanches in the Pelly Mountains, Yukon Territory, Geological Survey of Canada Paper 901E: 263 - 269",Pelly Mountain Rock Avalanches - 5,"980,000",,,0.268,15
"Ryder et al., 1990. Rock avalanches Texas Creek, British Columbia. Canadian Journal of Earth Sciences 27(10).",Texas Creek Fraser near Lillooet - mid Holocene,"45,000,000",,,0.287,16
"Friele and Clague, 2004. Large Holocene landslides from Pylon Peak, southwestern British Columbia. Canadian Journal of Earth Sciences 41(2)",Mt Cayley Debris Avalanche 1984,"740,000",,,0.34,19
"Clague and Southers, 1982. Dusty Creek landslide Mount Cayley. Canadian Journal of Earth Sciences 19(3):524 - 539",Mt Cayley Landslide 1963,"5,000,000",,,0.38,21
"Hsu, 1975. Catastrophic Debris Streams (Struzstroms) generated by rockfalls. Geological Society of America Bulletin 86:129-140",Hope Slide,"48,000,000",,,0.44,24
"Friele et al., 2020. Observations of the May 2019 Joffre Peak landslides, British Columbia. Landslides 17:913-930","Joffre Peak, 13 May 2019","1,800,000",1220,4200,0.22,12
"Friele et al., 2020. Observations of the May 2019 Joffre Peak landslides, British Columbia. Landslides 17:913-930","Joffre Peak, 16 May 2019","3,100,000",1350,4300,0.22,12
"McColl, 2020. The anomalously old bush stream rock avalanche and its implications for landslide inventories in dynamic landscapes 8(103)",Old Bush Stream,"75,000,000",820,4000,0.205,12
"Hancox and Thomson, 2013. The January 2013 Mt Haast rock avalanche and Ball Ridge rock fall in Aoraki/Mt Cook National Park, New Zealand. GNS Science report; 2013/33",Ball Ridge,"150,000",205,75,0.366,20
"Hancox and Thomson, 2013. The January 2013 Mt Haast rock avalanche and Ball Ridge rock fall in Aoraki/Mt Cook National Park, New Zealand. GNS Science report; 2013/33",Mount Haast,"1,000,000",2900,940,0.324,18
"Hancox et al, 2010. The nature and significance of landslides caused by Mw 7.6 earthquake of 15 July 2009 in Fiordland, New Zealand. Proceedings of 11th IAEG Congress Auckland September 2010, p219-228",Rosy Morn,"50,000",120,146,0.822,39
"Cox et al., 2015. Rock avalanche on 14 July 2014 from Hillary Ridge, Aoraki/Mount Cook, New Zealand. Landslides",Hillary Ridge,"900,000",3900,1736,0.445,24
"Carey et al., 2015. The January 2013 Wanganui River debris flood resulting from a large rock avalanche from Mt Evans, Westland, New Zealand. Landslides 12:961-972",Mount Evans,"4,000,000",6000,1500,0.25,14
"Carey et al., 2015. The January 2013 Wanganui River debris flood resulting from a large rock avalanche from Mt Evans, Westland, New Zealand. Landslides 12:961-972",County Glacier,"1,000,000",2500,1000,0.4,22
"McColl and Davies 2011. Evidence for a rock avalanche origin for 'The Hillocks' ""morraine"", Otago, New Zealand. Geomorphology 127:216 - 224",Hillocks,"22,500,000",5300,1700,0.321,18
"Lee et al. 2009. Successive holocene rock avalanches at Lake Coleridge, Canterbury, New Zealand. Landslides 6:287-297",Lake Coleridge,"10,400,000",1725,495,0.28,16
"Barth, 2014. The Cascade rock avalanche: implications of a very large Alpine Fault-triggered failure, New Zealand. Landslides.",Cascade,"750,000,000",1400,180,0.129,7
"Barth, 2014. The Cascade rock avalanche: implications of a very large Alpine Fault-triggered failure, New Zealand. Landslides.",Round Top,"45,000,000",1450,310,0.214,12
"Hancox et al., 2005. The October 1999 Mt Adams rock avalanche and subsequent landslide dam?break
flood and effects in Poerua river, Westland, New Zealand, New Zealand Journal of Geology and
Geophysics, 48:4, 683-705",Mount Adams,"12,500,000",1790,3000,0.597,31
"Smith et al., 2006. The Acheron rock avalanche, Canterbury, New Zealand - morphology and dynamics. Landslides 3:62 -72",Acheron,"10,000,000",700,3500,0.2,11
"Beetham et al., 2002. Four extremely large landslides in New Zealand, In: Landslides, 1st Edition",Waikaremoana,"2,500,000,000",,,0.08,5
"Beetham et al., 2002. Four extremely large landslides in New Zealand, In: Landslides, 1st Edition",Waikareiti,"29,000,000,000",,,0.19,11
"Beetham et al., 2002. Four extremely large landslides in New Zealand, In: Landslides, 1st Edition",Te Putere,"900,000,000",,,0.1,6
"Beetham et al., 2002. Four extremely large landslides in New Zealand, In: Landslides, 1st Edition",Tiniroto,"1,500,000,000",,,0.06,3
"Hancox and Perrin 2009. Green Lake Landslide and other giant and very large postglacial landslides in Fiordland, New Zealand. Quaternary Science Reviews 28(11-12):1020-1036",Green Lake,"27,000,000,000",1100,6500,0.169,10
"Hancox and Perrin 2009. Green Lake Landslide and other giant and very large postglacial landslides in Fiordland, New Zealand. Quaternary Science Reviews 28(11-12):1020-1036",Lochnagar,"700,000,000",960,3200,0.3,17
"Massey et al. 2013 Evolution of an Overflow Channel Across the Young River Landslide Dam, New Zealand. In Landslide Science and Practice p 43-49",Young River,"11,000,000",1050,1800,0.583,30
"Hancox et al., 2016. Landslides caused by the MS 7.8 Murchison Earthquake of 17 June 1929 in northwest South Island, New Zealand. GNS Science Report 2015/42. 105 p",Lake Stanley,"18,000,000",780,2500,0.312,17
"Hancox et al., 2016. Landslides caused by the MS 7.8 Murchison Earthquake of 17 June 1929 in northwest South Island, New Zealand. GNS Science Report 2015/42. 105 p",Matakitaki (Lake Mud),"18,100,000",380,1970,0.193,11
"Hancox et al., 2016. Landslides caused by the MS 7.8 Murchison Earthquake of 17 June 1929 in northwest South Island, New Zealand. GNS Science Report 2015/42. 105 p",Lake Marina,"10,500,000",620,1520,0.408,22
"Hancox et al., 2016. Landslides caused by the MS 7.8 Murchison Earthquake of 17 June 1929 in northwest South Island, New Zealand. GNS Science Report 2015/42. 105 p",The Haystack (Kakapo River),"8,200,000",563,2500,0.225,13
"Hancox et al., 2016. Landslides caused by the MS 7.8 Murchison Earthquake of 17 June 1929 in northwest South Island, New Zealand. GNS Science Report 2015/42. 105 p",Stanley River (lower),"2,400,000",900,2090,0.431,23
"Hancox et al., 2016. Landslides caused by the MS 7.8 Murchison Earthquake of 17 June 1929 in northwest South Island, New Zealand. GNS Science Report 2015/42. 105 p",Allen River,"4,400,000",540,1130,0.478,26
"Hancox et al., 2016. Landslides caused by the MS 7.8 Murchison Earthquake of 17 June 1929 in northwest South Island, New Zealand. GNS Science Report 2015/42. 105 p",Beautiful River,"3,000,000",710,1600,0.444,24
"Hancox et al., 2016. Landslides caused by the MS 7.8 Murchison Earthquake of 17 June 1929 in northwest South Island, New Zealand. GNS Science Report 2015/42. 105 p",Lake Elmer,"15,000,000",670,1730,0.387,21
"Hancox et al., 2016. Landslides caused by the MS 7.8 Murchison Earthquake of 17 June 1929 in northwest South Island, New Zealand. GNS Science Report 2015/42. 105 p",Goat Stream (Mokihinui River),"4,200,000",530,1870,0.283,16
"Hancox et al., 2016. Landslides caused by the MS 7.8 Murchison Earthquake of 17 June 1929 in northwest South Island, New Zealand. GNS Science Report 2015/42. 105 p",Johnson Ridge,"3,600,000",870,2940,0.296,16
"Hancox et al., 2016. Landslides caused by the MS 7.8 Murchison Earthquake of 17 June 1929 in northwest South Island, New Zealand. GNS Science Report 2015/42. 105 p",Rubble Creek,"5,600,000",380,1100,0.345,19
"Hancox et al., 2016. Landslides caused by the MS 7.8 Murchison Earthquake of 17 June 1929 in northwest South Island, New Zealand. GNS Science Report 2015/42. 105 p",Gouland Creek,"3,200,000",460,1190,0.387,21
"Hancox et al., 2016. Landslides caused by the MS 7.8 Murchison Earthquake of 17 June 1929 in northwest South Island, New Zealand. GNS Science Report 2015/42. 105 p",Tangent Creek,"2,800,000",640,1000,0.64,33
"Hancox et al., 2016. Landslides caused by the MS 7.8 Murchison Earthquake of 17 June 1929 in northwest South Island, New Zealand. GNS Science Report 2015/42. 105 p",Lake Matiri (upper valley),"2,300,000",550,1600,0.344,19
"Hancox et al., 2016. Landslides caused by the MS 7.8 Murchison Earthquake of 17 June 1929 in northwest South Island, New Zealand. GNS Science Report 2015/42. 105 p",Lake Lindsay,"4,800,000",700,1340,0.522,28
"Hancox et al., 2016. Landslides caused by the MS 7.8 Murchison Earthquake of 17 June 1929 in northwest South Island, New Zealand. GNS Science Report 2015/42. 105 p",McNabb Creek,"3,400,000",554,900,0.616,32
"Hancox et al., 2016. Landslides caused by the MS 7.8 Murchison Earthquake of 17 June 1929 in northwest South Island, New Zealand. GNS Science Report 2015/42. 105 p",Johnson Creek (Right Branch),"3,000,000",350,1000,0.35,19
"Hancox et al., 2016. Landslides caused by the MS 7.8 Murchison Earthquake of 17 June 1929 in northwest South Island, New Zealand. GNS Science Report 2015/42. 105 p",Stern Creek (southern  Matiri Range),"22,000,000",730,4000,0.183,10
"Hancox et al., 2016. Landslides caused by the MS 7.8 Murchison Earthquake of 17 June 1929 in northwest South Island, New Zealand. GNS Science Report 2015/42. 105 p",Ugly River (upper valley),"2,200,000",660,1420,0.465,25
"Hancox et al., 2016. Landslides caused by the MS 7.8 Murchison Earthquake of 17 June 1929 in northwest South Island, New Zealand. GNS Science Report 2015/42. 105 p",Mercury Creek,"2,000,000",600,1000,0.6,31
"Hancox et al., 2016. Landslides caused by the MS 7.8 Murchison Earthquake of 17 June 1929 in northwest South Island, New Zealand. GNS Science Report 2015/42. 105 p",Ngakawau River,"1,700,000",460,1910,0.241,14
"Hancox et al., 2016. Landslides caused by the MS 7.8 Murchison Earthquake of 17 June 1929 in northwest South Island, New Zealand. GNS Science Report 2015/42. 105 p",Ferris Creek,"2,100,000",780,1380,0.565,29
"Hancox et al., 2016. Landslides caused by the MS 7.8 Murchison Earthquake of 17 June 1929 in northwest South Island, New Zealand. GNS Science Report 2015/42. 105 p",Garibaldi Ridge,"2,400,000",640,2000,0.32,18
"Hancox et al., 2016. Landslides caused by the MS 7.8 Murchison Earthquake of 17 June 1929 in northwest South Island, New Zealand. GNS Science Report 2015/42. 105 p",Garibaldi Ridge a,"4,700,000",500,1400,0.357,20
"Hancox et al., 2016. Landslides caused by the MS 7.8 Murchison Earthquake of 17 June 1929 in northwest South Island, New Zealand. GNS Science Report 2015/42. 105 p",Garibaldi Ridge b,"1,400,000",880,1200,0.733,36
"Hancox et al., 2016. Landslides caused by the MS 7.8 Murchison Earthquake of 17 June 1929 in northwest South Island, New Zealand. GNS Science Report 2015/42. 105 p",Garilbaldi Ridge c,"3,100,000",770,2060,0.374,21
"Hancox et al., 2016. Landslides caused by the MS 7.8 Murchison Earthquake of 17 June 1929 in northwest South Island, New Zealand. GNS Science Report 2015/42. 105 p",Sphinx Plateau (Fern Flat),"3,700,000",580,1600,0.363,20
"Hancox et al., 2016. Landslides caused by the MS 7.8 Murchison Earthquake of 17 June 1929 in northwest South Island, New Zealand. GNS Science Report 2015/42. 105 p",Ugly River (lower valley),"1,700,000",480,1300,0.369,20
"Hancox et al., 2016. Landslides caused by the MS 7.8 Murchison Earthquake of 17 June 1929 in northwest South Island, New Zealand. GNS Science Report 2015/42. 105 p",Discovery Creek,"1,200,000",310,300,1.033,46
