Location,Reference,ID,Volume,L,H,H/L,F-Angle
"British Columbia, Vancouver Island","Brideau et al., 2019. Field characterisation and numerical modelling of debris avalanche runout on Vancouver Island, British Columbia, Canada. Landslides 16(5):875-907",38,604,52,18,0.346,19
"British Columbia, Vancouver Island","Brideau et al., 2019. Field characterisation and numerical modelling of debris avalanche runout on Vancouver Island, British Columbia, Canada. Landslides 16(5):875-908",19,621,67,27,0.403,22
"British Columbia, Vancouver Island","Brideau et al., 2019. Field characterisation and numerical modelling of debris avalanche runout on Vancouver Island, British Columbia, Canada. Landslides 16(5):875-909",39,624,118,68,0.576,30
"British Columbia, Vancouver Island","Brideau et al., 2019. Field characterisation and numerical modelling of debris avalanche runout on Vancouver Island, British Columbia, Canada. Landslides 16(5):875-910",37,666,156,108,0.692,35
"British Columbia, Vancouver Island","Brideau et al., 2019. Field characterisation and numerical modelling of debris avalanche runout on Vancouver Island, British Columbia, Canada. Landslides 16(5):875-911",24,1029,245,141,0.576,30
"British Columbia, Vancouver Island","Brideau et al., 2019. Field characterisation and numerical modelling of debris avalanche runout on Vancouver Island, British Columbia, Canada. Landslides 16(5):875-912",7,1216,400,255,0.638,33
"British Columbia, Vancouver Island","Brideau et al., 2019. Field characterisation and numerical modelling of debris avalanche runout on Vancouver Island, British Columbia, Canada. Landslides 16(5):875-913",29,1242,536,229,0.427,23
"British Columbia, Vancouver Island","Brideau et al., 2019. Field characterisation and numerical modelling of debris avalanche runout on Vancouver Island, British Columbia, Canada. Landslides 16(5):875-914",31,1377,447,192,0.43,23
"British Columbia, Vancouver Island","Brideau et al., 2019. Field characterisation and numerical modelling of debris avalanche runout on Vancouver Island, British Columbia, Canada. Landslides 16(5):875-915",30,1536,270,99,0.367,20
"British Columbia, Vancouver Island","Brideau et al., 2019. Field characterisation and numerical modelling of debris avalanche runout on Vancouver Island, British Columbia, Canada. Landslides 16(5):875-916",26,1722,644,276,0.429,23
"British Columbia, Vancouver Island","Brideau et al., 2019. Field characterisation and numerical modelling of debris avalanche runout on Vancouver Island, British Columbia, Canada. Landslides 16(5):875-917",27,1834,255,156,0.612,31
"British Columbia, Vancouver Island","Brideau et al., 2019. Field characterisation and numerical modelling of debris avalanche runout on Vancouver Island, British Columbia, Canada. Landslides 16(5):875-918",17,2080,327,163,0.498,26
"British Columbia, Vancouver Island","Brideau et al., 2019. Field characterisation and numerical modelling of debris avalanche runout on Vancouver Island, British Columbia, Canada. Landslides 16(5):875-919",6,2200,437,198,0.453,24
"British Columbia, Vancouver Island","Brideau et al., 2019. Field characterisation and numerical modelling of debris avalanche runout on Vancouver Island, British Columbia, Canada. Landslides 16(5):875-920",14,2300,490,202,0.412,22
"British Columbia, Vancouver Island","Brideau et al., 2019. Field characterisation and numerical modelling of debris avalanche runout on Vancouver Island, British Columbia, Canada. Landslides 16(5):875-921",11,2334,425,153,0.36,20
"British Columbia, Vancouver Island","Brideau et al., 2019. Field characterisation and numerical modelling of debris avalanche runout on Vancouver Island, British Columbia, Canada. Landslides 16(5):875-922",42,2353,147,83,0.565,29
"British Columbia, Vancouver Island","Brideau et al., 2019. Field characterisation and numerical modelling of debris avalanche runout on Vancouver Island, British Columbia, Canada. Landslides 16(5):875-923",9,2494,427,207,0.485,26
"British Columbia, Vancouver Island","Brideau et al., 2019. Field characterisation and numerical modelling of debris avalanche runout on Vancouver Island, British Columbia, Canada. Landslides 16(5):875-924",10,2620,412,178,0.432,23
"British Columbia, Vancouver Island","Brideau et al., 2019. Field characterisation and numerical modelling of debris avalanche runout on Vancouver Island, British Columbia, Canada. Landslides 16(5):875-925",32,3055,341,149,0.437,24
"British Columbia, Vancouver Island","Brideau et al., 2019. Field characterisation and numerical modelling of debris avalanche runout on Vancouver Island, British Columbia, Canada. Landslides 16(5):875-926",44,4318,538,237,0.441,24
"British Columbia, Vancouver Island","Brideau et al., 2019. Field characterisation and numerical modelling of debris avalanche runout on Vancouver Island, British Columbia, Canada. Landslides 16(5):875-927",23,9190,462,140,0.303,17
"Kaikoura, New Zealand","Brideau et al., 2020.  Empirical Relationships to Estimate the Probability of Runout Exceedance for Various Landslide Types. In: Guzzetti F., Mihali? Arbanas S., Reichenbach P., Sassa K., Bobrowsky P.T., Takara K. (eds) Understanding and Reducing Landslide Disaster Risk. WLF 2020. ICL Contribution to Landslide Disaster Risk Reduction. Springer, Cham.",1,631,55,38,0.703,35
"Kaikoura, New Zealand","Brideau et al., 2020.  Empirical Relationships to Estimate the Probability of Runout Exceedance for Various Landslide Types. In: Guzzetti F., Mihali? Arbanas S., Reichenbach P., Sassa K., Bobrowsky P.T., Takara K. (eds) Understanding and Reducing Landslide Disaster Risk. WLF 2020. ICL Contribution to Landslide Disaster Risk Reduction. Springer, Cham.",8,1960,135,101,0.752,37
"Kaikoura, New Zealand","Brideau et al., 2020.  Empirical Relationships to Estimate the Probability of Runout Exceedance for Various Landslide Types. In: Guzzetti F., Mihali? Arbanas S., Reichenbach P., Sassa K., Bobrowsky P.T., Takara K. (eds) Understanding and Reducing Landslide Disaster Risk. WLF 2020. ICL Contribution to Landslide Disaster Risk Reduction. Springer, Cham.",10,410,70,53,0.756,37
"Kaikoura, New Zealand","Brideau et al., 2020.  Empirical Relationships to Estimate the Probability of Runout Exceedance for Various Landslide Types. In: Guzzetti F., Mihali? Arbanas S., Reichenbach P., Sassa K., Bobrowsky P.T., Takara K. (eds) Understanding and Reducing Landslide Disaster Risk. WLF 2020. ICL Contribution to Landslide Disaster Risk Reduction. Springer, Cham.",16,1000,222,70,0.317,18
"Kaikoura, New Zealand","Brideau et al., 2020.  Empirical Relationships to Estimate the Probability of Runout Exceedance for Various Landslide Types. In: Guzzetti F., Mihali? Arbanas S., Reichenbach P., Sassa K., Bobrowsky P.T., Takara K. (eds) Understanding and Reducing Landslide Disaster Risk. WLF 2020. ICL Contribution to Landslide Disaster Risk Reduction. Springer, Cham.",18,110,73,35,0.48,26
"Kaikoura, New Zealand","Brideau et al., 2020.  Empirical Relationships to Estimate the Probability of Runout Exceedance for Various Landslide Types. In: Guzzetti F., Mihali? Arbanas S., Reichenbach P., Sassa K., Bobrowsky P.T., Takara K. (eds) Understanding and Reducing Landslide Disaster Risk. WLF 2020. ICL Contribution to Landslide Disaster Risk Reduction. Springer, Cham.",19,260,180,140,0.778,38
"Kaikoura, New Zealand","Brideau et al., 2020.  Empirical Relationships to Estimate the Probability of Runout Exceedance for Various Landslide Types. In: Guzzetti F., Mihali? Arbanas S., Reichenbach P., Sassa K., Bobrowsky P.T., Takara K. (eds) Understanding and Reducing Landslide Disaster Risk. WLF 2020. ICL Contribution to Landslide Disaster Risk Reduction. Springer, Cham.",4,4870,113,93,0.824,39
"Kaikoura, New Zealand","Brideau et al., 2020.  Empirical Relationships to Estimate the Probability of Runout Exceedance for Various Landslide Types. In: Guzzetti F., Mihali? Arbanas S., Reichenbach P., Sassa K., Bobrowsky P.T., Takara K. (eds) Understanding and Reducing Landslide Disaster Risk. WLF 2020. ICL Contribution to Landslide Disaster Risk Reduction. Springer, Cham.",MAB_LS1,9400,280,99,0.354,19
"Kaikoura, New Zealand","Brideau et al., 2020.  Empirical Relationships to Estimate the Probability of Runout Exceedance for Various Landslide Types. In: Guzzetti F., Mihali? Arbanas S., Reichenbach P., Sassa K., Bobrowsky P.T., Takara K. (eds) Understanding and Reducing Landslide Disaster Risk. WLF 2020. ICL Contribution to Landslide Disaster Risk Reduction. Springer, Cham.",MAB_LS2,3300,194,111,0.572,30
"Kaikoura, New Zealand","Brideau et al., 2020.  Empirical Relationships to Estimate the Probability of Runout Exceedance for Various Landslide Types. In: Guzzetti F., Mihali? Arbanas S., Reichenbach P., Sassa K., Bobrowsky P.T., Takara K. (eds) Understanding and Reducing Landslide Disaster Risk. WLF 2020. ICL Contribution to Landslide Disaster Risk Reduction. Springer, Cham.",MAB_LS7,3300,333,186,0.559,29
"Kaikoura, New Zealand","Brideau et al., 2020.  Empirical Relationships to Estimate the Probability of Runout Exceedance for Various Landslide Types. In: Guzzetti F., Mihali? Arbanas S., Reichenbach P., Sassa K., Bobrowsky P.T., Takara K. (eds) Understanding and Reducing Landslide Disaster Risk. WLF 2020. ICL Contribution to Landslide Disaster Risk Reduction. Springer, Cham.",MAB_LS8,4100,212,131,0.618,32
"Kaikoura, New Zealand","Brideau et al., 2020.  Empirical Relationships to Estimate the Probability of Runout Exceedance for Various Landslide Types. In: Guzzetti F., Mihali? Arbanas S., Reichenbach P., Sassa K., Bobrowsky P.T., Takara K. (eds) Understanding and Reducing Landslide Disaster Risk. WLF 2020. ICL Contribution to Landslide Disaster Risk Reduction. Springer, Cham.",MAB_LS9,4200,244,119,0.488,26
"Kaikoura, New Zealand","Brideau et al., 2020.  Empirical Relationships to Estimate the Probability of Runout Exceedance for Various Landslide Types. In: Guzzetti F., Mihali? Arbanas S., Reichenbach P., Sassa K., Bobrowsky P.T., Takara K. (eds) Understanding and Reducing Landslide Disaster Risk. WLF 2020. ICL Contribution to Landslide Disaster Risk Reduction. Springer, Cham.",MAB_LS11,2600,179,85,0.475,25
